Lic#: 147423 |D.O.B: 12/6/1953 |Expires: 2019 |SSN:98-68-23786 |L.name GarciaF.name Madison M.I: H|Major.V: 0 |Minor.V: 0 |Regular.V 0 |D.O.V: 11/2/2014 |Offence Code:3010
Lic#: 802730 |D.O.B: 8/1/1956 |Expires: 2020 |SSN:98-43-67867 |L.name LeeF.name Logan M.I: F|Major.V: 1 |Minor.V: 0 |Regular.V 1 |D.O.V: 4/1/2013 |Offence Code:3007
Lic#: 983973 |D.O.B: 3/23/1952 |Expires: 2015 |SSN:98-32-17006 |L.name MitchellF.name Griffin M.I: A|Major.V: 1 |Minor.V: 0 |Regular.V 3 |D.O.V: 1/24/2014 |Offence Code:3008
Lic#: 24175 |D.O.B: 6/28/1953 |Expires: 2018 |SSN:98-95-13886 |L.name CampbellF.name Lincoln M.I: N|Major.V: 1 |Minor.V: 1 |Regular.V 0 |D.O.V: 3/17/2013 |Offence Code:3009
Lic#: 72352 |D.O.B: 12/2/1941 |Expires: 2020 |SSN:98-71-55963 |L.name ScottF.name Kathryn M.I: Y|Major.V: 0 |Minor.V: 1 |Regular.V 1 |D.O.V: 10/17/2014 |Offence Code:3003
Lic#: 75399 |D.O.B: 9/8/1952 |Expires: 2025 |SSN:98-93-13524 |L.name GrayF.name Dawson M.I: V|Major.V: 0 |Minor.V: 1 |Regular.V 2 |D.O.V: 3/26/2014 |Offence Code:3000
Lic#: 86268 |D.O.B: 1/8/1957 |Expires: 2019 |SSN:98-60-59299 |L.name JamesF.name Jessica M.I: R|Major.V: 0 |Minor.V: 1 |Regular.V 0 |D.O.V: 2/12/2013 |Offence Code:3009
Lic#: 90645 |D.O.B: 11/31/1941 |Expires: 2020 |SSN:98-97-12451 |L.name LopezF.name Logan M.I: N|Major.V: 1 |Minor.V: 0 |Regular.V 3 |D.O.V: 10/14/2013 |Offence Code:3007
Lic#: 142286 |D.O.B: 7/21/1949 |Expires: 2024 |SSN:98-21-86204 |L.name WrightF.name Dominic M.I: B|Major.V: 1 |Minor.V: 0 |Regular.V 0 |D.O.V: 1/23/2014 |Offence Code:3005
Lic#: 147423 |D.O.B: 12/6/1953 |Expires: 2019 |SSN:98-68-23786 |L.name GarciaF.name Madison M.I: H|Major.V: 1 |Minor.V: 0 |Regular.V 3 |D.O.V: 2/22/2014 |Offence Code:3008
Lic#: 154817 |D.O.B: 3/8/1940 |Expires: 2018 |SSN:98-56-20625 |L.name LopezF.name Caden M.I: L|Major.V: 0 |Minor.V: 0 |Regular.V 1 |D.O.V: 8/6/2014 |Offence Code:3002
Lic#: 177382 |D.O.B: 4/7/1948 |Expires: 2017 |SSN:98-80-07403 |L.name WrightF.name Evelyn M.I: I|Major.V: 0 |Minor.V: 0 |Regular.V 2 |D.O.V: 7/19/2014 |Offence Code:3001
