Lic#: 40702 |D.O.B: 6/31/1943 |Expires: 2016 |SSN:98-37-68754 |L.name HughesF.name Oliver M.I: Q|Major.V: 0 |Minor.V: 1 |Regular.V 3 |D.O.V: 4/7/2013 |Offence Code:3009
Lic#: 47983 |D.O.B: 11/5/1954 |Expires: 2018 |SSN:98-92-31411 |L.name ReyesF.name Eli M.I: W|Major.V: 0 |Minor.V: 0 |Regular.V 0 |D.O.V: 5/28/2013 |Offence Code:3001
Lic#: 82341 |D.O.B: 6/20/1941 |Expires: 2021 |SSN:98-85-66406 |L.name MurphyF.name Jax M.I: B|Major.V: 0 |Minor.V: 1 |Regular.V 3 |D.O.V: 7/9/2014 |Offence Code:3008
Lic#: 104598 |D.O.B: 12/1/1942 |Expires: 2024 |SSN:98-85-02933 |L.name CooperF.name Ezra M.I: P|Major.V: 0 |Minor.V: 1 |Regular.V 2 |D.O.V: 11/26/2013 |Offence Code:3000
Lic#: 145119 |D.O.B: 12/1/1953 |Expires: 2025 |SSN:98-64-14287 |L.name MartinezF.name Adalyn M.I: D|Major.V: 1 |Minor.V: 1 |Regular.V 3 |D.O.V: 9/1/2014 |Offence Code:3000
Lic#: 147423 |D.O.B: 12/6/1953 |Expires: 2019 |SSN:98-68-23786 |L.name GarciaF.name Madison M.I: H|Major.V: 0 |Minor.V: 0 |Regular.V 0 |D.O.V: 10/7/2014 |Offence Code:3001
Lic#: 151885 |D.O.B: 6/2/1947 |Expires: 2019 |SSN:98-84-05458 |L.name BakerF.name Mya M.I: M|Major.V: 1 |Minor.V: 0 |Regular.V 0 |D.O.V: 2/31/2014 |Offence Code:3002
Lic#: 161723 |D.O.B: 8/18/1942 |Expires: 2017 |SSN:98-38-68126 |L.name AndersonF.name Michael M.I: R|Major.V: 0 |Minor.V: 0 |Regular.V 3 |D.O.V: 2/3/2014 |Offence Code:3008
Lic#: 162148 |D.O.B: 5/5/1954 |Expires: 2016 |SSN:98-48-57723 |L.name YoungF.name Dawson M.I: F|Major.V: 0 |Minor.V: 0 |Regular.V 3 |D.O.V: 11/31/2014 |Offence Code:3006
Lic#: 193581 |D.O.B: 11/10/1949 |Expires: 2021 |SSN:98-24-14147 |L.name NguyenF.name Lydia M.I: Y|Major.V: 0 |Minor.V: 0 |Regular.V 2 |D.O.V: 1/5/2014 |Offence Code:3002
Lic#: 207749 |D.O.B: 1/31/1946 |Expires: 2022 |SSN:98-15-23081 |L.name GarciaF.name Thomas M.I: B|Major.V: 0 |Minor.V: 0 |Regular.V 0 |D.O.V: 10/2/2014 |Offence Code:3006
